GEO,CROPS,STRUCPRO\TIME	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
Slovenia,Wheat and spelt,EU standard humidity (%)	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	:
Slovakia,Wheat and spelt,EU standard humidity (%)	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	:
Finland,Wheat and spelt,EU standard humidity (%)	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00
Sweden,Wheat and spelt,EU standard humidity (%)	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00
Iceland,Wheat and spelt,EU standard humidity (%)	:	:	:	14.00	14.00	14.00	:	14.00	14.00	14.00
Norway,Wheat and spelt,EU standard humidity (%)	14.00	14.00	14.00	14.00	14.00	14.00	:	:	:	:
Switzerland,Wheat and spelt,EU standard humidity (%)	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	:
United Kingdom,Wheat and spelt,EU standard humidity (%)	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	:
Montenegro,Wheat and spelt,EU standard humidity (%)	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	:	:
North Macedonia,Wheat and spelt,EU standard humidity (%)	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00
Albania,Wheat and spelt,EU standard humidity (%)	14.00	:	14.00	14.00	14.00	:	14.00	14.00	14.00	:
Serbia,Wheat and spelt,EU standard humidity (%)	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	:
Turkey,Wheat and spelt,EU standard humidity (%)	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	:
Bosnia and Herzegovina,Wheat and spelt,EU standard humidity (%)	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	:
Kosovo (under United Nations Security Council Resolution 1244/99),Wheat and spelt,EU standard humidity (%)	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	:	:
European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020),Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	23,085.57	23,202.30	24,419.29	24,327.09	24,255.26	23,385.83	23,018.82	23,882.10	20,713.98	:
European Union - 27 countries (from 2020),Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	21,279.41	21,790.72	22,483.29	22,495.09	22,432.26	21,593.83	21,271.12	22,066.32	20,713.98	:
European Union - 28 countries (2013-2020),Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	23,271.41	23,405.72	24,419.29	24,327.09	24,255.26	23,385.83	23,018.82	23,882.10	:	:
Belgium,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	217.10	201.86	210.76	221.78	215.72	197.59	195.69	203.76	195.00 p	:
Bulgaria,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	1,166.30	1,301.56	1,261.47	1,096.20	1,179.10	1,133.70	1,197.10	1,189.36	1,193.00	1,196.00
Czechia,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	815.38	829.39	835.94	829.82	839.71 d	832.06 d	819.69 d	839.45 d	798.58 d	784.78 d
Denmark,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	614.10	567.90	662.10	632.40	583.00	586.60	425.80	573.40	502.60	538.34
Germany (until 1990 former territory of the FRG),Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	3,045.00	3,119.60	3,208.40	3,263.90	3,176.40	3,173.00	3,006.20	3,086.70	2,801.50	2,910.60
Estonia,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	124.30	124.20	154.40	169.70	164.50	169.75	154.58	166.98	168.04	:
Ireland,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	98.03	60.60	71.61	65.33	67.92	67.05	57.98	63.48	46.41 p	62.02 p
Greece,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	162.53	192.04	191.42	154.84	149.42	119.70	108.00	96.61	89.34 e	93.04
Spain,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	1,777.12	1,781.58	1,874.07	1,828.42	1,808.69	1,645.12	1,689.08	1,653.45	1,663.76	1,820.59 p
France,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	4,860.63	4,983.66	5,010.46	5,161.39	5,139.25	4,962.08	4,880.21	4,998.75	4,261.73	4,942.00
Croatia,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	185.84	203.43	155.58	141.15	170.90	117.73	137.99	142.76	144.70	144.00
Italy,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	593.49	631.67	586.62	553.63	528.74	501.72	543.32	530.68	500.80	492.98
Cyprus,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	0.00 n	0.00 n	0.00 n	0.00 n	0.78	1.57	2.43	4.20	4.00 e	4.00 e
Latvia,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	352.40	369.30	391.60	447.30	479.10	446.80	417.20	492.70	498.20	538.40
Lithuania,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	627.00	667.40	708.00	836.22	880.53	811.95	772.89	895.76	891.57	948.70
Luxembourg,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	13.52	14.25	12.67	14.49	13.81	14.11	12.87	13.36	11.80	:
Hungary,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	1,057.81	1,075.91	1,098.23	1,029.32	1,014.53	932.82	981.88	978.72	906.94	857.06
Malta,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Netherlands,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	152.00	153.00	142.00	142.47	127.33	115.92	111.66	120.55	108.91	120.00
Austria,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	293.93	284.94	290.61	283.89	294.51	274.39	272.39	261.64	262.51	260.27
Poland,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	2,077.20	2,137.90	2,338.78	2,395.50	2,364.10	2,391.85	2,417.23	2,511.33	2,471.55 e	2,396.95 e
Portugal,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	51.08	50.76	46.19	37.02	33.51	24.89	22.87	23.04 p	24.04	24.04
Romania,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	1,988.70	2,099.74	2,108.89	2,103.82	2,130.71	2,048.13	2,110.52	2,162.64	2,139.41	2,143.71
Slovenia,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	34.59	31.76	33.12	30.73 d	31.46 d	28.02 d	27.82 d	26.73 d	27.27 d	:
Slovakia,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	377.69	357.46	369.51	356.43	374.31	331.12	355.42	363.21	353.14	307.72
Finland,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	227.30	227.50	267.40	241.80	215.10	194.30	177.80	197.60	198.80	213.10
Sweden,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	366.37	323.33	453.48	457.55	449.15	471.87	372.50	469.49	450.39	484.98
Iceland,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	0.00	:	:	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n
Norway,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	67.00	55.00	79.20	85.80	66.80	75.75	58.65	80.35	67.60	:
Switzerland,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	89.10	88.74	88.32	87.99	88.46	87.05	87.98	86.46 p	84.44	88.33 e
United Kingdom,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	1,992.00	1,615.00	1,936.00	1,832.00	1,823.00	1,792.00	1,747.70	1,815.78	1,415.13 p	:
Montenegro,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	0.52	0.67	0.74	0.74	0.75 p	0.77 p	0.77 p	0.77 p	:	:
North Macedonia,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	79.75	80.98	76.69	73.06	79.83	72.86	70.99	68.85	69.77	64.28 e
Albania,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	73.20	:	70.00	69.60	70.50	68.10	65.10	57.30	53.90	:
Serbia,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	603.27	631.64	604.75	589.92	595.00	556.10	643.08	577.50	581.13	600.10
Turkey,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	6,344.00	6,501.00	6,640.00	6,595.00	6,435.00	6,435.00	6,103.00	5,753.00	5,666.00	:
Bosnia and Herzegovina,Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	61.07 e	67.90 e	68.02 e	61.89 e	71.39 e	69.45 e	73.59 e	68.97 e	69.91 e	:
Kosovo (under United Nations Security Council Resolution 1244/99),Common wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	102.90	101.80	91.20	89.90	89.10	80.50	81.10	80.30	:	:
European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020),Common wheat and spelt,Harvested production in EU standard humidity (1000 t)	124,442.99	135,001.05	149,214.23	152,103.36	134,713.00	142,599.48	128,988.96	147,860.09	117,868.08	:
European Union - 27 countries (from 2020),Common wheat and spelt,Harvested production in EU standard humidity (1000 t)	112,264.28	124,155.07	132,704.78	135,754.97	120,497.24	127,935.00	115,591.58	131,824.24	117,868.08	:
European Union - 28 countries (2013-2020),Common wheat and spelt,Harvested production in EU standard humidity (1000 t)	125,448.18	136,006.76	149,214.23	152,103.36	134,713.00	142,599.48	128,988.96	147,860.09	:	:
Belgium,Common wheat and spelt,Harvested production in EU standard humidity (1000 t)	1,821.80	1,847.89	1,892.20	2,069.02	1,431.44	1,690.84	1,661.86	1,902.38	1,763.97 p	:
Bulgaria,Common wheat and spelt,Harvested production in EU standard humidity (1000 t)	4,548.32	5,610.19	5,435.11	5,106.96	5,745.29	6,271.58	5,893.53	6,280.15	4,822.22	7,332.12
Czechia,Common wheat and spelt,Harvested production in EU standard humidity (1000 t)	3,518.90	4,700.70	5,442.35	5,274.27	5,454.66 d	4,718.21 d	4,417.84 d	4,812.16 d	4,902.41 d	4,912.38 d
Denmark,Common wheat and spelt,Harvested production in EU standard humidity (1000 t)	4,472.48	4,097.00	5,093.38	4,971.51	4,152.65	4,777.89	2,623.93	4,642.09	4,070.41	3,859.07
Germany (until 1990 former territory of the FRG),Common wheat and spelt,Harvested production in EU standard humidity (1000 t)	22,351.80	24,966.40	27,711.20	26,462.30	24,329.20	24,311.20	20,125.40	22,907.90	21,989.00	21,156.20
Estonia,Common wheat and spelt,Harvested production in EU standard humidity (1000 t)	484.70	406.80	615.50	812.60	455.50	713.26	450.27	846.58	840.52	:
Ireland,Common wheat and spelt,Harvested production in EU standard humidity (1000 t)	656.22	524.84	678.56	653.41	610.24	634.40	485.48	595.36	361.23 p	571.88 p
Greece,Common wheat and spelt,Harvested production in EU standard humidity (1000 t)	497.89	603.74	657.91	369.74	492.52	302.85	298.63	295.28	233.08 e	282.53
Spain,Common wheat and spelt,Harvested production in EU standard humidity (1000 t)	4,881.22	7,088.86	5,875.72	5,659.04	7,092.59	3,922.01	6,980.39	5,304.31	7,319.46	7,915.99 p
France,Common wheat and spelt,Harvested production in EU standard humidity (1000 t)	35,090.12	36,442.08	37,030.43	40,468.54	27,299.47	36,134.03	33,649.54	39,056.97	28,817.67	36,267.23
Croatia,Common wheat and spelt,Harvested production in EU standard humidity (1000 t)	1,005.19	1,005.71	650.82	761.73	966.55	692.26	751.13	801.47	878.09	859.38
Italy,Common wheat and spelt,Harvested production in EU standard humidity (1000 t)	3,453.55	3,436.98	3,167.98	3,056.75	3,052.49	2,812.61	2,848.06	2,785.80	2,725.74	:
Cyprus,Common wheat and spelt,Harvested production in EU standard humidity (1000 t)	0.00 n	0.00 n	0.00 n	0.00 n	0.32	2.83	2.89	11.01	10.23 e	7.20 e
Latvia,Common wheat and spelt,Harvested production in EU standard humidity (1000 t)	1,539.80	1,435.00	1,467.50	2,250.10	2,062.30	2,138.80	1,431.60	2,371.00	2,659.60	2,280.90
Lithuania,Common wheat and spelt,Harvested production in EU standard humidity (1000 t)	2,998.90	2,871.30	3,230.60	4,394.08	3,844.49	3,917.37	2,838.90	3,843.85	4,808.78	4,695.90
Luxembourg,Common wheat and spelt,Harvested production in EU standard humidity (1000 t)	78.82	90.75	76.86	92.01	70.15	77.55	79.65	82.26	71.87	:
Hungary,Common wheat and spelt,Harvested production in EU standard humidity (1000 t)	3,942.30	4,964.42	5,194.66	5,237.57	5,453.30	5,087.15	5,049.34	5,215.24	4,893.07	5,064.59
Malta,Common wheat and spelt,Harvested production in EU standard humidity (1000 t)	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Netherlands,Common wheat and spelt,Harvested production in EU standard humidity (1000 t)	1,278.23	1,307.06	1,282.01	1,269.81	995.20	1,032.21	961.92	1,130.53	931.83	:
Austria,Common wheat and spelt,Harvested production in EU standard humidity (1000 t)	1,231.82	1,534.57	1,737.16	1,627.74	1,842.28	1,343.30	1,276.20	1,516.63	1,573.87	1,409.06
Poland,Common wheat and spelt,Harvested production in EU standard humidity (1000 t)	8,457.47	9,319.76	11,419.08	10,753.93	10,626.45	11,448.66	9,637.62	10,807.49	11,728.27 e	12,049.92 e
Portugal,Common wheat and spelt,Harvested production in EU standard humidity (1000 t)	56.63	92.45	98.27	77.09	80.00	52.02	58.54	53.08 p	50.43	:
Romania,Common wheat and spelt,Harvested production in EU standard humidity (1000 t)	5,275.63	7,283.62	7,565.41	7,954.51	8,406.48	10,014.38	10,122.91	10,280.58	6,390.12	11,372.96
Slovenia,Common wheat and spelt,Harvested production in EU standard humidity (1000 t)	188.07	138.24	173.24	157.06 d	163.17 d	140.96 d	121.90 d	139.81 d	158.05 d	:
Slovakia,Common wheat and spelt,Harvested production in EU standard humidity (1000 t)	1,246.69	1,636.58	2,020.32	1,968.84	2,194.48	1,587.77	1,702.16	1,751.33	1,959.82	1,754.72
Finland,Common wheat and spelt,Harvested production in EU standard humidity (1000 t)	898.45	881.53	1,102.12	1,005.94	834.44	812.26	501.60	914.18	686.62	722.34
Sweden,Common wheat and spelt,Harvested production in EU standard humidity (1000 t)	2,289.30	1,868.60	3,086.40	3,300.40	2,841.60	3,298.60	1,620.30	3,476.80	3,221.70	3,287.00
Iceland,Common wheat and spelt,Harvested production in EU standard humidity (1000 t)	0.00	:	:	0.00 n	0.00	0.00	0.00 n	0.00 n	0.00 n	0.00
Norway,Common wheat and spelt,Harvested production in EU standard humidity (1000 t)	271.80	210.52	385.07	489.44	305.79	395.83	136.07	444.87	303.00	:
Switzerland,Common wheat and spelt,Harvested production in EU standard humidity (1000 t)	518.12	487.24	557.07	:	391.11	536.65	502.85	503.02 p	540.22	:
United Kingdom,Common wheat and spelt,Harvested production in EU standard humidity (1000 t)	13,183.90	11,851.69	16,509.45	16,348.40	14,215.76	14,664.48	13,397.38	16,035.85	10,015.17 p	:
Montenegro,Common wheat and spelt,Harvested production in EU standard humidity (1000 t)	1.46	2.33	2.18	2.13	2.38 p	2.49 p	2.50 p	2.17 p	:	:
North Macedonia,Common wheat and spelt,Harvested production in EU standard humidity (1000 t)	214.96	258.96	287.95	201.22	306.43	200.11	241.11	239.92	246.03	233.50 e
Albania,Common wheat and spelt,Harvested production in EU standard humidity (1000 t)	296.51	:	280.00	275.00	275.00	274.90	240.30	233.20	233.40	:
Serbia,Common wheat and spelt,Harvested production in EU standard humidity (1000 t)	2,399.22	2,690.27	2,387.20	2,428.20	2,885.00	2,275.60	2,941.60	2,534.64	2,873.50	3,207.79
Turkey,Common wheat and spelt,Harvested production in EU standard humidity (1000 t)	16,807.00	17,989.00	15,706.00	18,505.00	17,617.00	18,262.14	16,954.63	16,460.27	17,156.48	:
Bosnia and Herzegovina,Common wheat and spelt,Harvested production in EU standard humidity (1000 t)	227.75 e	268.24 e	172.03 e	215.49 e	310.17 e	292.10 e	299.25 e	267.85 e	325.55 e	:
Kosovo (under United Nations Security Council Resolution 1244/99),Common wheat and spelt,Harvested production in EU standard humidity (1000 t)	345.00	391.70	328.20 e	304.40	365.70	320.10	280.60	285.00	:	:
European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020),Common wheat and spelt,Yield in EU standard humidity (tonne/ha)	:	:	:	:	:	:	:	:	:	:
European Union - 27 countries (from 2020),Common wheat and spelt,Yield in EU standard humidity (tonne/ha)	:	:	:	:	:	:	:	:	:	:
European Union - 28 countries (2013-2020),Common wheat and spelt,Yield in EU standard humidity (tonne/ha)	:	:	:	:	:	:	:	:	:	:
Belgium,Common wheat and spelt,Yield in EU standard humidity (tonne/ha)	8.21	8.96	9.28	9.33	6.64	8.56	8.49	9.33	9.04 p	:
Bulgaria,Common wheat and spelt,Yield in EU standard humidity (tonne/ha)	3.90	4.31	4.31	4.66	4.87	5.53	4.92	5.28	4.01	6.17
Czechia,Common wheat and spelt,Yield in EU standard humidity (tonne/ha)	4.32	5.67	6.51	6.36	6.50 d	5.67	5.39	5.73	6.14	6.26
Denmark,Common wheat and spelt,Yield in EU standard humidity (tonne/ha)	7.28	7.20	7.69	7.91	7.12	8.15	6.16	8.10	8.10	7.17
Germany (until 1990 former territory of the FRG),Common wheat and spelt,Yield in EU standard humidity (tonne/ha)	7.34	8.00	8.64	8.11	7.66	7.66	6.69	7.42	7.85	7.27
Estonia,Common wheat and spelt,Yield in EU standard humidity (tonne/ha)	3.90	3.28	3.99	4.79	2.77	4.20	2.91	5.07	5.00	:
Ireland,Common wheat and spelt,Yield in EU standard humidity (tonne/ha)	6.67	8.66	9.46	10.00	8.99	9.46	8.37	9.38	7.78 p	9.22 p
Greece,Common wheat and spelt,Yield in EU standard humidity (tonne/ha)	3.06	3.14	3.44	2.39	3.30	2.53	2.77	3.06	2.63	3.04
Spain,Common wheat and spelt,Yield in EU standard humidity (tonne/ha)	2.77	3.91	3.17	3.10	3.92	2.38	4.13	3.21	4.40	4.35 p
France,Common wheat and spelt,Yield in EU standard humidity (tonne/ha)	7.12	7.30	7.41	7.84	5.31	7.28	6.90	7.83	6.76	7.34
Croatia,Common wheat and spelt,Yield in EU standard humidity (tonne/ha)	5.36	4.96	4.15	5.36	5.70	5.87	5.44	5.59	6.07	5.97
Italy,Common wheat and spelt,Yield in EU standard humidity (tonne/ha)	5.83	5.37	5.40	5.63 p	4.29	5.76	5.24	5.25	5.44	:
Cyprus,Common wheat and spelt,Yield in EU standard humidity (tonne/ha)	2.25	1.90	:	:	0.41	1.80 e	1.19 e	2.63 e	2.56 e	1.80
Latvia,Common wheat and spelt,Yield in EU standard humidity (tonne/ha)	4.37	3.89	3.26	5.03	4.30	4.79	3.43	4.81	5.34	4.24
Lithuania,Common wheat and spelt,Yield in EU standard humidity (tonne/ha)	4.78	4.30	4.56	5.26	4.37	4.82	3.67	4.29	5.39	4.90
Luxembourg,Common wheat and spelt,Yield in EU standard humidity (tonne/ha)	5.83	6.37	6.06	6.35	5.08	5.49	6.19	6.16	6.09	:
Hungary,Common wheat and spelt,Yield in EU standard humidity (tonne/ha)	3.71	4.60	4.73	5.19	5.38	5.45	5.14	5.33	5.40	5.91
Malta,Common wheat and spelt,Yield in EU standard humidity (tonne/ha)	:	:	:	:	:	:	:	:	:	:
Netherlands,Common wheat and spelt,Yield in EU standard humidity (tonne/ha)	8.54	9.01	9.24	8.91	7.84	8.88	8.93	9.38	8.56	8.44
Austria,Common wheat and spelt,Yield in EU standard humidity (tonne/ha)	4.19	5.39	5.98	5.74	6.25	4.89	4.68	5.80	5.99	5.42
Poland,Common wheat and spelt,Yield in EU standard humidity (tonne/ha)	4.05 e	4.35	4.82	4.48	4.46	4.79	3.98	4.31	4.58 e	5.02 e
Portugal,Common wheat and spelt,Yield in EU standard humidity (tonne/ha)	1.11	1.82	2.13	2.08	2.39	2.09	2.56	2.30 p	2.10 p	:
Romania,Common wheat and spelt,Yield in EU standard humidity (tonne/ha)	2.65	3.47	3.59	3.78	3.95	4.89	4.80	4.75	2.99	5.31
Slovenia,Common wheat and spelt,Yield in EU standard humidity (tonne/ha)	5.44	4.39	5.23	5.11 d	5.19	5.03 d	4.38 d	5.23 d	5.80 d	:
Slovakia,Common wheat and spelt,Yield in EU standard humidity (tonne/ha)	3.30	4.76	5.27	5.52 e	6.06	4.80	4.77	4.87	5.56	5.70
Finland,Common wheat and spelt,Yield in EU standard humidity (tonne/ha)	3.95	3.87	4.12	4.16	3.88	4.18	2.82	4.62	3.46	3.39
Sweden,Common wheat and spelt,Yield in EU standard humidity (tonne/ha)	6.25	5.78	6.81	7.22	6.33	6.99	4.35	7.41	7.15	6.78
Iceland,Common wheat and spelt,Yield in EU standard humidity (tonne/ha)	:	:	:	:	:	:	:	:	: z	:
Norway,Common wheat and spelt,Yield in EU standard humidity (tonne/ha)	4.05	3.85	4.86	5.53	4.60	5.24	2.32	5.53	4.48	:
Switzerland,Common wheat and spelt,Yield in EU standard humidity (tonne/ha)	5.81	5.49	6.30	:	4.42	6.17	5.72	5.82 p	6.40	:
United Kingdom,Common wheat and spelt,Yield in EU standard humidity (tonne/ha)	6.64	7.34	8.56	8.75	7.81	8.20 p	7.67	8.84	7.08 p	:
Montenegro,Common wheat and spelt,Yield in EU standard humidity (tonne/ha)	2.83	3.48	2.95	2.90	3.19 p	3.26 p	3.25 p	2.82 p	:	:
North Macedonia,Common wheat and spelt,Yield in EU standard humidity (tonne/ha)	2.70	3.20	3.76	2.75	3.84	2.75	3.40	3.48	3.53	3.63 e
Albania,Common wheat and spelt,Yield in EU standard humidity (tonne/ha)	:	:	4.00	:	3.90	4.04	3.69	4.07	4.33	:
Serbia,Common wheat and spelt,Yield in EU standard humidity (tonne/ha)	3.98	4.26	3.95	4.12	4.85	4.09	4.54	4.39	4.95	5.35
Turkey,Common wheat and spelt,Yield in EU standard humidity (tonne/ha)	2.60	2.80	2.37	2.80	2.70	2.80	2.77	2.91	3.01	:
Bosnia and Herzegovina,Common wheat and spelt,Yield in EU standard humidity (tonne/ha)	3.73 e	3.95 e	2.53 e	3.48 e	4.34 e	4.21 e	4.07 e	3.88 e	4.66 e	:
Kosovo (under United Nations Security Council Resolution 1244/99),Common wheat and spelt,Yield in EU standard humidity (tonne/ha)	3.35	3.85	3.60	3.38	4.18	3.98	3.46	3.55	:	:
European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020),Common wheat and spelt,Main area (1000 ha)	:	:	:	:	:	:	:	:	:	:
European Union - 27 countries (from 2020),Common wheat and spelt,Main area (1000 ha)	:	:	:	:	:	:	:	:	:	:
European Union - 28 countries (2013-2020),Common wheat and spelt,Main area (1000 ha)	:	:	:	:	:	:	:	:	:	:
Belgium,Common wheat and spelt,Main area (1000 ha)	:	:	:	:	:	:	:	:	:	:
Bulgaria,Common wheat and spelt,Main area (1000 ha)	:	:	:	:	:	:	:	:	:	:
Czechia,Common wheat and spelt,Main area (1000 ha)	:	:	:	:	:	:	:	:	:	:
Denmark,Common wheat and spelt,Main area (1000 ha)	:	:	:	:	:	:	:	:	:	:
Germany (until 1990 former territory of the FRG),Common wheat and spelt,Main area (1000 ha)	:	:	:	:	:	:	:	:	:	:
Estonia,Common wheat and spelt,Main area (1000 ha)	:	:	:	:	:	:	:	:	:	:
Ireland,Common wheat and spelt,Main area (1000 ha)	:	:	:	:	:	:	:	:	:	:
Greece,Common wheat and spelt,Main area (1000 ha)	:	:	:	:	:	:	:	:	:	:
Spain,Common wheat and spelt,Main area (1000 ha)	:	:	:	:	:	:	:	:	:	:
France,Common wheat and spelt,Main area (1000 ha)	:	:	:	:	:	:	:	:	:	:
Croatia,Common wheat and spelt,Main area (1000 ha)	:	:	:	:	:	:	:	:	:	:
Italy,Common wheat and spelt,Main area (1000 ha)	:	:	:	:	:	:	:	:	:	:
Cyprus,Common wheat and spelt,Main area (1000 ha)	:	:	:	:	:	:	:	:	:	:
Latvia,Common wheat and spelt,Main area (1000 ha)	:	:	:	:	:	:	:	:	:	:
Lithuania,Common wheat and spelt,Main area (1000 ha)	:	:	:	:	:	:	:	:	:	:
Luxembourg,Common wheat and spelt,Main area (1000 ha)	:	:	:	:	:	:	:	:	:	:
Hungary,Common wheat and spelt,Main area (1000 ha)	:	:	:	:	:	:	:	:	:	:
Malta,Common wheat and spelt,Main area (1000 ha)	:	:	:	:	:	:	:	:	:	:
Netherlands,Common wheat and spelt,Main area (1000 ha)	:	:	:	:	:	:	:	:	:	:
Austria,Common wheat and spelt,Main area (1000 ha)	:	:	:	:	:	:	:	:	:	:
Poland,Common wheat and spelt,Main area (1000 ha)	:	:	:	:	:	:	:	:	:	:
Portugal,Common wheat and spelt,Main area (1000 ha)	:	:	:	:	:	:	:	:	:	:
Romania,Common wheat and spelt,Main area (1000 ha)	:	:	:	:	:	:	:	:	:	:
Slovenia,Common wheat and spelt,Main area (1000 ha)	:	:	:	:	:	:	:	:	:	:
Slovakia,Common wheat and spelt,Main area (1000 ha)	:	:	:	:	:	:	:	:	:	:
Finland,Common wheat and spelt,Main area (1000 ha)	:	:	:	:	:	:	:	:	:	:
Sweden,Common wheat and spelt,Main area (1000 ha)	:	:	:	:	:	:	:	:	:	:
Iceland,Common wheat and spelt,Main area (1000 ha)	:	:	:	:	:	:	:	:	:	:
Norway,Common wheat and spelt,Main area (1000 ha)	:	:	:	:	:	:	:	:	:	:
Switzerland,Common wheat and spelt,Main area (1000 ha)	:	:	:	:	:	:	:	:	:	:
United Kingdom,Common wheat and spelt,Main area (1000 ha)	:	:	:	:	:	:	:	:	:	:
Montenegro,Common wheat and spelt,Main area (1000 ha)	:	:	:	:	:	:	:	:	:	:
North Macedonia,Common wheat and spelt,Main area (1000 ha)	:	:	:	:	:	:	:	:	:	:
Albania,Common wheat and spelt,Main area (1000 ha)	:	:	:	:	:	:	:	:	:	:
Serbia,Common wheat and spelt,Main area (1000 ha)	:	:	:	:	:	:	:	:	:	:
Turkey,Common wheat and spelt,Main area (1000 ha)	:	:	:	:	:	:	:	:	:	:
Bosnia and Herzegovina,Common wheat and spelt,Main area (1000 ha)	:	:	:	:	:	:	:	:	:	:
Kosovo (under United Nations Security Council Resolution 1244/99),Common wheat and spelt,Main area (1000 ha)	:	:	:	:	:	:	:	:	:	:
European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020),Common wheat and spelt,EU standard humidity (%)	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00
European Union - 27 countries (from 2020),Common wheat and spelt,EU standard humidity (%)	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00
European Union - 28 countries (2013-2020),Common wheat and spelt,EU standard humidity (%)	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	:	:
Belgium,Common wheat and spelt,EU standard humidity (%)	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	:
Bulgaria,Common wheat and spelt,EU standard humidity (%)	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00
Czechia,Common wheat and spelt,EU standard humidity (%)	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00
Denmark,Common wheat and spelt,EU standard humidity (%)	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00	14.00
