GEO,CROPS,STRUCPRO\TIME	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
Serbia,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	603.27	631.64	604.75	589.92	595.00	556.10	643.10	577.50	581.13	:
Turkey,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	7,534.00	7,780.00	7,922.00	7,869.00	7,674.00	7,672.00	7,305.00	6,849.00	6,922.00	:
Bosnia and Herzegovina,Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	61.07 e	67.90 e	68.02 e	61.89 e	71.39 e	69.45 e	73.59 e	68.97 e	69.91 e	:
Kosovo (under United Nations Security Council Resolution 1244/99),Wheat and spelt,Area (cultivation/harvested/production) (1000 ha)	102.90	101.80	91.20	89.90	89.10	80.50	81.10	80.30	:	:
European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020),Wheat and spelt,Harvested production in EU standard humidity (1000 t)	132,825.30	143,111.35	157,071.34	:	144,745.44	151,549.89	137,908.11	155,452.56	125,193.50	:
European Union - 27 countries (from 2020),Wheat and spelt,Harvested production in EU standard humidity (1000 t)	120,652.71	132,270.22	140,561.88	:	130,529.68	136,885.41	124,510.72	139,416.71	125,193.50	:
European Union - 28 countries (2013-2020),Wheat and spelt,Harvested production in EU standard humidity (1000 t)	133,836.61	144,121.91	157,071.34	:	144,745.44	151,549.89	137,908.11	155,452.56	:	:
Belgium,Wheat and spelt,Harvested production in EU standard humidity (1000 t)	1,821.80	1,847.89	1,892.20	2,069.02	1,431.44	1,690.84	1,661.86	1,902.38	1,763.97 p	:
Bulgaria,Wheat and spelt,Harvested production in EU standard humidity (1000 t)	4,600.15	5,652.17	5,458.99	5,140.14	5,942.78	6,318.08	5,954.52	6,319.63	4,851.03	7,368.14
Czechia,Wheat and spelt,Harvested production in EU standard humidity (1000 t)	3,518.90	4,700.70	5,442.35	5,274.27	5,454.66	4,718.21	4,417.84	4,812.16	4,902.41	4,912.38
Denmark,Wheat and spelt,Harvested production in EU standard humidity (1000 t)	4,472.48	4,097.00	5,093.38	4,971.51	4,152.65	4,777.89	2,623.93	4,642.09	4,070.41	3,859.07
Germany (until 1990 former territory of the FRG),Wheat and spelt,Harvested production in EU standard humidity (1000 t)	22,409.30	25,019.10	27,784.80	26,549.50	24,463.80	24,481.60	20,263.50	23,062.60	22,172.10	21,371.10
Estonia,Wheat and spelt,Harvested production in EU standard humidity (1000 t)	484.70	406.80	615.50	812.60	455.50	713.26	450.27	846.58	840.52	:
Ireland,Wheat and spelt,Harvested production in EU standard humidity (1000 t)	656.22	524.84	678.55	653.41	610.24	634.40	485.48	595.36	361.23 p	571.88 p
Greece,Wheat and spelt,Harvested production in EU standard humidity (1000 t)	1,636.83	1,716.05	1,737.30	1,190.11	1,665.35	1,023.90	1,072.94	979.22	842.40 e	890.66
Spain,Wheat and spelt,Harvested production in EU standard humidity (1000 t)	5,310.52	7,924.91	6,621.89	6,627.04	8,199.69	5,033.04	8,322.51	6,041.17	8,143.51	8,689.89 p
France,Wheat and spelt,Harvested production in EU standard humidity (1000 t)	37,479.86	38,188.22	38,538.23	42,252.93	28,975.44	38,228.15	35,424.14	40,604.96	30,088.81	37,838.53
Croatia,Wheat and spelt,Harvested production in EU standard humidity (1000 t)	1,011.31	1,010.56	658.37	771.85	969.05	695.59	753.06	803.27	881.33	864.23
Italy,Wheat and spelt,Harvested production in EU standard humidity (1000 t)	7,565.24	7,510.13	7,317.15	:	8,236.95	7,139.01	7,104.65	6,739.47	6,716.18	:
Cyprus,Wheat and spelt,Harvested production in EU standard humidity (1000 t)	23.51	15.66	4.53	36.06	7.10	17.11	15.33	29.47	27.88 e	25.80 e
Latvia,Wheat and spelt,Harvested production in EU standard humidity (1000 t)	1,539.80	1,435.00	1,467.50	2,250.10	2,062.30	2,138.80	1,431.60	2,371.00	2,659.60	2,280.90
Lithuania,Wheat and spelt,Harvested production in EU standard humidity (1000 t)	2,998.90	2,871.30	3,230.60	4,394.08	3,844.49	3,917.37	2,838.90	3,843.85	4,808.78	4,695.90
Luxembourg,Wheat and spelt,Harvested production in EU standard humidity (1000 t)	78.28	90.00	77.04	92.01	70.15	77.55	79.65	82.26	72.40	:
Hungary,Wheat and spelt,Harvested production in EU standard humidity (1000 t)	3,987.67	5,028.89	5,261.89	5,331.43	5,603.18	5,246.26	5,258.43	5,377.71	5,010.03	5,196.03
Malta,Wheat and spelt,Harvested production in EU standard humidity (1000 t)	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Netherlands,Wheat and spelt,Harvested production in EU standard humidity (1000 t)	1,271.72	1,303.95	1,273.67	1,269.81	995.20	1,032.21	961.92	1,130.53	931.83	:
Austria,Wheat and spelt,Harvested production in EU standard humidity (1000 t)	1,275.50	1,597.71	1,804.02	1,715.70	1,965.54	1,434.38	1,367.06	1,596.88	1,652.74	1,497.51
Poland,Wheat and spelt,Harvested production in EU standard humidity (1000 t)	8,507.51	9,374.91	11,493.48	10,753.93	10,626.45	11,448.66	9,637.62	10,807.49	11,728.27 e	12,049.92 e
Portugal,Wheat and spelt,Harvested production in EU standard humidity (1000 t)	61.05	95.22	102.24	83.20	93.16	61.69	70.11	61.60 p	58.53	:
Romania,Wheat and spelt,Harvested production in EU standard humidity (1000 t)	5,297.75	7,296.37	7,584.81	7,962.42	8,431.13	10,034.96	10,143.67	10,297.11	6,409.84	11,393.49
Slovenia,Wheat and spelt,Harvested production in EU standard humidity (1000 t)	188.07	138.24	173.24	157.06	163.17	140.96	121.90	139.81	158.05	:
Slovakia,Wheat and spelt,Harvested production in EU standard humidity (1000 t)	1,267.89	1,674.48	2,060.36	2,082.13	2,434.22	1,770.66	1,927.93	1,939.13	2,133.33	:
Finland,Wheat and spelt,Harvested production in EU standard humidity (1000 t)	898.45	881.53	1,103.38	1,005.94	834.44	812.24	501.60	914.18	686.62	722.34
Sweden,Wheat and spelt,Harvested production in EU standard humidity (1000 t)	2,289.30	1,868.60	3,086.40	3,300.40	2,841.60	3,298.60	1,620.30	3,476.80	3,221.70	3,287.00
Iceland,Wheat and spelt,Harvested production in EU standard humidity (1000 t)	:	:	:	0.00 n	0.00 n	0.00	0.00 n	0.00 n	0.00 n	0.00
Norway,Wheat and spelt,Harvested production in EU standard humidity (1000 t)	271.80	210.52	385.07	489.44	305.79	395.83	:	:	:	:
