,date,dateRelease,shapeId,comdty,param,value
54,2012-01-01,2021-09-23,Croatia,Wheat and spelt,Harvested production in EU standard humidity (1000 t),1011.31
55,2012-01-01,2021-09-23,Italy,Wheat and spelt,Harvested production in EU standard humidity (1000 t),7565.24
56,2012-01-01,2021-09-23,Cyprus,Wheat and spelt,Harvested production in EU standard humidity (1000 t),23.51
57,2012-01-01,2021-09-23,Latvia,Wheat and spelt,Harvested production in EU standard humidity (1000 t),1539.8
58,2012-01-01,2021-09-23,Lithuania,Wheat and spelt,Harvested production in EU standard humidity (1000 t),2998.9
59,2012-01-01,2021-09-23,Luxembourg,Wheat and spelt,Harvested production in EU standard humidity (1000 t),78.28
60,2012-01-01,2021-09-23,Hungary,Wheat and spelt,Harvested production in EU standard humidity (1000 t),3987.67
61,2012-01-01,2021-09-23,Malta,Wheat and spelt,Harvested production in EU standard humidity (1000 t),0.0
62,2012-01-01,2021-09-23,Netherlands,Wheat and spelt,Harvested production in EU standard humidity (1000 t),1271.72
63,2012-01-01,2021-09-23,Austria,Wheat and spelt,Harvested production in EU standard humidity (1000 t),1275.5
64,2012-01-01,2021-09-23,Poland,Wheat and spelt,Harvested production in EU standard humidity (1000 t),8507.51
65,2012-01-01,2021-09-23,Portugal,Wheat and spelt,Harvested production in EU standard humidity (1000 t),61.05
66,2012-01-01,2021-09-23,Romania,Wheat and spelt,Harvested production in EU standard humidity (1000 t),5297.75
67,2012-01-01,2021-09-23,Slovenia,Wheat and spelt,Harvested production in EU standard humidity (1000 t),188.07
68,2012-01-01,2021-09-23,Slovakia,Wheat and spelt,Harvested production in EU standard humidity (1000 t),1267.89
69,2012-01-01,2021-09-23,Finland,Wheat and spelt,Harvested production in EU standard humidity (1000 t),898.45
70,2012-01-01,2021-09-23,Sweden,Wheat and spelt,Harvested production in EU standard humidity (1000 t),2289.3
71,2012-01-01,2021-09-23,Iceland,Wheat and spelt,Harvested production in EU standard humidity (1000 t),
72,2012-01-01,2021-09-23,Norway,Wheat and spelt,Harvested production in EU standard humidity (1000 t),271.8
73,2012-01-01,2021-09-23,Switzerland,Wheat and spelt,Harvested production in EU standard humidity (1000 t),519.31
74,2012-01-01,2021-09-23,United Kingdom,Wheat and spelt,Harvested production in EU standard humidity (1000 t),13183.9
75,2012-01-01,2021-09-23,Montenegro,Wheat and spelt,Harvested production in EU standard humidity (1000 t),1.46
76,2012-01-01,2021-09-23,North Macedonia,Wheat and spelt,Harvested production in EU standard humidity (1000 t),217.46
77,2012-01-01,2021-09-23,Albania,Wheat and spelt,Harvested production in EU standard humidity (1000 t),296.51
78,2012-01-01,2021-09-23,Serbia,Wheat and spelt,Harvested production in EU standard humidity (1000 t),2399.22
79,2012-01-01,2021-09-23,Turkey,Wheat and spelt,Harvested production in EU standard humidity (1000 t),20107.0
80,2012-01-01,2021-09-23,Bosnia and Herzegovina,Wheat and spelt,Harvested production in EU standard humidity (1000 t),227.75
81,2012-01-01,2021-09-23,Kosovo (under United Nations Security Council Resolution 1244/99),Wheat and spelt,Harvested production in EU standard humidity (1000 t),345.0
82,2012-01-01,2021-09-23,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",Wheat and spelt,Yield in EU standard humidity (tonne/ha),
83,2012-01-01,2021-09-23,European Union - 27 countries (from 2020),Wheat and spelt,Yield in EU standard humidity (tonne/ha),
84,2012-01-01,2021-09-23,European Union - 28 countries (2013-2020),Wheat and spelt,Yield in EU standard humidity (tonne/ha),
85,2012-01-01,2021-09-23,Belgium,Wheat and spelt,Yield in EU standard humidity (tonne/ha),
86,2012-01-01,2021-09-23,Bulgaria,Wheat and spelt,Yield in EU standard humidity (tonne/ha),
87,2012-01-01,2021-09-23,Czechia,Wheat and spelt,Yield in EU standard humidity (tonne/ha),4.32
88,2012-01-01,2021-09-23,Denmark,Wheat and spelt,Yield in EU standard humidity (tonne/ha),
89,2012-01-01,2021-09-23,Germany (until 1990 former territory of the FRG),Wheat and spelt,Yield in EU standard humidity (tonne/ha),7.33
90,2012-01-01,2021-09-23,Estonia,Wheat and spelt,Yield in EU standard humidity (tonne/ha),3.9
91,2012-01-01,2021-09-23,Ireland,Wheat and spelt,Yield in EU standard humidity (tonne/ha),6.67
92,2012-01-01,2021-09-23,Greece,Wheat and spelt,Yield in EU standard humidity (tonne/ha),2.91
93,2012-01-01,2021-09-23,Spain,Wheat and spelt,Yield in EU standard humidity (tonne/ha),
94,2012-01-01,2021-09-23,France,Wheat and spelt,Yield in EU standard humidity (tonne/ha),
95,2012-01-01,2021-09-23,Croatia,Wheat and spelt,Yield in EU standard humidity (tonne/ha),5.36
96,2012-01-01,2021-09-23,Italy,Wheat and spelt,Yield in EU standard humidity (tonne/ha),
97,2012-01-01,2021-09-23,Cyprus,Wheat and spelt,Yield in EU standard humidity (tonne/ha),2.75
98,2012-01-01,2021-09-23,Latvia,Wheat and spelt,Yield in EU standard humidity (tonne/ha),4.37
99,2012-01-01,2021-09-23,Lithuania,Wheat and spelt,Yield in EU standard humidity (tonne/ha),
100,2012-01-01,2021-09-23,Luxembourg,Wheat and spelt,Yield in EU standard humidity (tonne/ha),
101,2012-01-01,2021-09-23,Hungary,Wheat and spelt,Yield in EU standard humidity (tonne/ha),
